name,phone,email,email_host,website,category,address,city,state,zip,country,google_rank,facebook_url,instagram_url,twitter_url,linkedin_url,googlestars,googlereviewscount,yelpstars,yelpreviewscount,facebookstars,facebookreviewscount,facebookpixel,googlepixel,criteopixel,seo_schema,googleanalytics,linkedinanalytics,uses_wordpress,mobilefriendly,uses_shopify,domain_registration,domain_expiration,domain_registrar,domain_nameserver,instagram_name,instagram_is_verified,instagram_is_business_account,instagram_media_count,instagram_highlight_reel_count,instagram_followers,instagram_following,instagram_category,instagram_average_likes,instagram_average_comments,ads_yelp,ads_facebook,ads_instagram,ads_messenger,ads_adwords,g_maps,g_maps_claimed,search_keyword,search_city
Leaf &amp; Grain,12054461011,catering@eatlg.com,google.com,https://eatlg.com/shops-at-houston-center,Health food restaurant,1200 McKinney St Suite 479,Houston,TX,77010,US,,,https://www.instagram.com/theleafandgrain,,https://www.linkedin.com/company/leaf-grain,4.6,173,4.6,135,,,n,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,Tucows Domains,squarespacedns.com,Leaf & Grain,,1,200,6,8467,1661,Restaurant,138,17,,,,,,"https://maps.google.com/maps/place/Leaf+&amp;+Grain/@29.7554797,-95.3633079,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x79121B859F791751!8m2!3d29.7554797!4d-95.3633079",claimed,Restaurants,Houston
Nancys Hustle,13465717931,info@nancyshustle.com,google.com,http://nancyshustle.com/,New American restaurant,2704 Polk St A,Houston,TX,77003,US,,https://www.facebook.com/nancyshustle,https://www.instagram.com/nancyshustle,https://www.twitter.com/nancyshustle,https://www.linkedin.com/company/nancy's-hustle,4.7,2075,4.4,1215,4.1,185,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Nancy's Hustle,,1,787,4,30821,761,Restaurant,375,10,,,,,,"https://maps.google.com/maps/place/Nancys+Hustle/@29.7456806,-95.3521694,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xFE66DAB9E95B607B!8m2!3d29.7456806!4d-95.3521694",claimed,Restaurants,Houston
The Fish Restaurant &amp; Sushi Bar,17135265294,info@fishhouston.com,google.com,https://fishhouston.com/,Restaurant,309 Gray St #107,Houston,TX,77002,US,,,https://www.instagram.com/thefishhtx,,,4.5,1123,4,555,,,n,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,The Fish Restaurant & Sushi Bar,,,961,,6742,2678,,42,2,,,,,,https://g.page/TheFishHouston,claimed,Restaurants,Houston
The Moonshiners Southern Table   Bar,17132267717,info@themoonshinershouston.com,outlook.com,http://www.themoonshinershouston.com/,American restaurant,1000 Prairie St,Houston,TX,77002,US,,,https://www.instagram.com/themoonshinerssoutherntablebar,,,4.2,2617,3.7,822,,,n,y,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Moonshiners Southern Table Bar,,1,773,2,5977,1245,Restaurants,7,,,,,,,"https://maps.google.com/maps/place/The+Moonshiners+Southern+Table+++Bar/@29.7605011,-95.3618188,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xDC725B8264EC0CBE!8m2!3d29.7605011!4d-95.3618188",claimed,Restaurants,Houston
Huynh Restaurant,17132248964,phohuynhgirl@yahoo.com,yahoo.com,http://www.huynhrestauranthouston.com/,Vietnamese restaurant,912 St Emanuel St,Houston,TX,77003,US,,,,,,4.7,2594,4.3,1236,,,n,n,n,y,n,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,https://g.page/HuynhRestaurant,claimed,Restaurants,Houston
Uchi Houston,17135224808,giftcards@uchirestaurants.com,mimecast.com,https://uchi.uchirestaurants.com/location/houston/,Sushi restaurant,904 Westheimer Rd,Houston,TX,77006,US,,https://www.facebook.com/uchihouston,https://www.instagram.com/uchirestaurants,,,4.7,2795,,,4.4,875,n,n,n,y,y,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,cloudflare.com,uchi,,1,1675,14,83473,782,,495,12,,1,,,1,"https://maps.google.com/maps/place/Uchi+Houston/@29.7448938,-95.3907229,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xBA870240E892B2C6!8m2!3d29.7448938!4d-95.3907229",claimed,Restaurants,Houston
Chipotle Mexican Grill,17132256633,tx.0406.nlewisville@chipotle.com,proofpoint.com,https://locations.chipotle.com/tx/houston/909-texas-st,Fast food restaurant,909 Texas St,Houston,TX,77002,US,,,https://www.instagram.com/chipotle,https://www.twitter.com/chipotletweets,,4.1,605,,,,,n,y,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Csc Corporate Domains,locations.chipotle.com,Chipotle,1,1,831,,1545536,342,Restaurant,10077,782,,,,,1,"https://maps.google.com/maps/place/Chipotle+Mexican+Grill/@29.7602138,-95.3625748,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xB01234D91FDCF808!8m2!3d29.7602138!4d-95.3625748",claimed,Restaurants,Houston
Kolache Factory,17132222253,adeghani@kolfac.com,google.com,https://locations.kolachefactory.com/tx/houston/811-louisiana-st,Restaurant,811 Louisiana St,Houston,TX,77002,US,,,https://www.instagram.com/kolachefactory,https://www.twitter.com/kolachefactory,,4.1,83,,,,,n,n,n,y,y,n,n,y,n,1970-01-01,1970-01-01,Network Solutions,locations.kolachefactory.com,Kolache Factory,1,1,2174,2,11132,157,Restaurant,18,1,,,,,,"https://maps.google.com/maps/place/Kolache+Factory/@29.7592922,-95.3663131,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x62C32FCA62A361B3!8m2!3d29.7592922!4d-95.3663131",claimed,Restaurants,Houston
District7 Restaurant &amp; Market,17132298611,catering@district7grill.com,google.com,https://www.districtmarkethtx.com/,New American restaurant,610 Main St,Houston,TX,77002,US,,https://www.facebook.com/thedistricthtx,https://www.instagram.com/thedistrictmarket,,,4.1,335,,,4.5,287,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,aws.com,The District Market,,1,7,,91,,,163,16,,,,,,https://g.page/TheDistrictHTX,claimed,Restaurants,Houston
Irmas Southwest,17132479651,jv@irmassouthwest.com,google.com,https://irmassouthwesthouston.com/,Mexican restaurant,1475 Texas Ave,Houston,TX,77002,US,,,,,,4.4,1013,,,,,n,n,n,n,y,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Irmas+Southwest/@29.7578546,-95.3586116,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7CCF4A6AF7511D2C!8m2!3d29.7578546!4d-95.3586116",claimed,Restaurants,Houston
The Breakfast Klub,17135288561,katering@thebreakfastklub.com,outlook.com,http://www.thebreakfastklub.com/,Breakfast restaurant,3711 Travis St,Houston,TX,77002,US,,https://www.facebook.com/thebreakfastklub,https://www.instagram.com/katfishandgrits,https://www.twitter.com/thebreakfasklub,,4.7,9746,4.5,6509,4.3,5896,y,n,n,y,y,n,y,y,n,1970-01-01,1970-01-01,Wild West Domains,domaincontrol.com,the breakfast klub,,1,6355,5,94795,1674,Restaurant,112,3,,,1,1,,https://g.page/katfishandgrits,claimed,Restaurants,Houston
House of Blues Houston,17136525837,ricancira@livenation.com,trendmicro.com,https://houston.houseofblues.com/,Live music venue,1204 Caroline St,Houston,TX,77002,US,,,https://www.instagram.com/hobhouston,,,4.4,6181,,,,,n,y,n,y,y,n,n,y,n,1970-01-01,1970-01-01,Csc Corporate Domains,houston.houseofblues.com,House of Blues Houston,1,1,12343,5,85586,443,Entrepreneur,28,1,,,,,1,"https://maps.google.com/maps/place/House+of+Blues+Houston/@29.7538217,-95.3639531,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xABC9668BA1027C50!8m2!3d29.7538217!4d-95.3639531",claimed,Restaurants,Houston
MKT Bar,18323602222,askus@mktbar.com,google.com,http://www.mktbar.com/,New American restaurant,1001 Austin St,Houston,TX,77010,US,,,https://www.instagram.com/mktbar,https://www.twitter.com/mktbar,,4.4,1398,3.9,683,,,y,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,Enameco,mktbar.com,MKT BAR,,1,963,,3331,1158,American Restaurant,13,1,,,,,,https://g.page/MKTBARHOUSTON,claimed,Restaurants,Houston
Lankfords Grocery & Market,17135229555,lankfordgrocery@gmail.com,google.com,http://midtown.lankfordsburgers.com/,Hamburger restaurant,88 Dennis St,Houston,TX,77006,US,,,https://www.instagram.com/jprior2112,,,4.5,1951,4,929,,,n,y,n,n,y,n,n,y,n,1970-01-01,1970-01-01,Tucows Domains,midtown.lankfordsburgers.com,,,,34,,10,,,,,,,,,,"https://maps.google.com/maps/place/Lankfords+Grocery+&+Market/@29.7500189,-95.3838701,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x3CB0E3DD1580BE67!8m2!3d29.7500189!4d-95.3838701",claimed,Restaurants,Houston
Bayou &amp; Bottle,17132764715,mau.special.events@fourseasons.com,cisco.com,https://www.fourseasons.com/houston/dining/lounges/bayou-and-bottle/,Bar,1300 Lamar St,Houston,TX,77010,US,,,https://www.instagram.com/margaritacoffees,,https://www.linkedin.com/company/festive-punta-mita,4.5,331,4.2,110,,,n,n,n,n,n,n,n,n,n,1970-01-01,1970-01-01,Csc Corporate Domains,dnsmadeeasy.com,Margaritas Coffee,,1,100,6,2993,1073,Entrepreneur,79,4,,,,,1,"https://maps.google.com/maps/place/Bayou+&amp;+Bottle/@29.753975,-95.3628266,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xDCCDD56F5D42E0A5!8m2!3d29.753975!4d-95.3628266",claimed,Restaurants,Houston
Lone Star Taco Co.,17132228226,lonestartacomanagement@gmail.com,google.com,http://www.txlonestartaco.com/,Taco restaurant,1001 Texas St STE 100,Houston,TX,77002,US,,,https://www.instagram.com/txlonestartaco,,,4.2,1594,3.4,280,,,n,n,n,y,n,n,y,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Lone Star Taco Co.,,1,368,,572,1485,Restaurants,3,,,,,,,"https://maps.google.com/maps/place/Lone+Star+Taco+Co./@29.7600612,-95.362102,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x1AB198AB3F38FB76!8m2!3d29.7600612!4d-95.362102",claimed,Restaurants,Houston
Coltivare,12205446105,julia@agricolehospitality.com,outlook.com,https://www.agricolehospitality.com/coltivare/,Italian restaurant,3320 White Oak Dr,Houston,TX,77007,US,,,https://www.instagram.com/agricolehtx,https://www.twitter.com/misscarouselhtx,,4.4,1865,,,,,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,Agricole Hospitality,,1,66,2,4310,1114,Business & Utility Services,110,3,,,,,,"https://maps.google.com/maps/place/Coltivare/@29.781695,-95.393832,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x7CB17D4FB90BDCC8!8m2!3d29.781695!4d-95.393832",claimed,Restaurants,Houston
Gus's World Famous Fried Chicken,18327404022,jerrik@gusfriedchicken.com,outlook.com,http://gusfriedchicken.com/houston-texas-location/,Chicken restaurant,1815 Washington Ave,Houston,TX,77007,US,,,,,,4.5,3778,4.3,1295,,,y,y,n,n,y,n,n,y,n,1970-01-01,1970-01-01,GoDaddy,domaincontrol.com,,,,,,,,,,,,,,,,"https://maps.google.com/maps/place/Gus's+World+Famous+Fried+Chicken/@29.7675427,-95.3765744,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5A3A0C51F79C3C25!8m2!3d29.7675427!4d-95.3765744",claimed,Restaurants,Houston
The Grove,17133377321,catering@thegrovehouston.com,outlook.com,http://thegrovehouston.com/,New American restaurant,1611 Lamar St,Houston,TX,77010,US,,https://www.facebook.com/93237298972,https://www.instagram.com/grovehouston,https://www.twitter.com/grovehouston,,4.3,1252,3.4,873,3.9,430,n,n,n,y,n,n,n,y,n,1970-01-01,1970-01-01,Network Solutions,worldnic.com,The Grove Restaurant,,1,1582,9,8271,920,Restaurants,25,22,,,,,,https://g.page/thegrovehouston,claimed,Restaurants,Houston
Gyu-Kaku Japanese BBQ,17137509520,contact@gyu-kaku.com,rackspace.com,http://www.gyu-kaku.com/houston,Yakiniku restaurant,510 Gray St ST #A,Houston,TX,77002,US,,,https://www.instagram.com/gyukakujbbq,https://www.twitter.com/gyukakujbbq,,4.6,5502,4,1769,,,n,y,n,y,y,n,y,y,n,1970-01-01,1970-01-01,Network Solutions,wix.com,Gyu-Kaku Japanese BBQ,1,1,1956,2,93852,3927,Restaurants,40,4,,,,,1,"https://maps.google.com/maps/place/Gyu-Kaku+Japanese+BBQ/@29.7506872,-95.3755229,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xA6A61408FF74F097!8m2!3d29.7506872!4d-95.3755229",claimed,Restaurants,Houston
BCN Taste &amp; Tradition,18328343411,info@bcnhouston.com,google.com,http://bcnhouston.com/,Spanish restaurant,4210 Roseland St,Houston,TX,77006,US,,,https://www.instagram.com/bcn_houston,,https://www.linkedin.com/company/bcn-houston,4.7,1146,,,,,n,n,n,y,y,n,n,y,n,1970-01-01,1970-01-01,Network Solutions,worldnic.com,BCN Taste & Tradition,,1,457,,14512,553,Restaurant,290,9,,,,,,"https://maps.google.com/maps/place/BCN+Taste+&amp;+Tradition/@29.7349267,-95.3901565,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x121321E36DD4A255!8m2!3d29.7349267!4d-95.3901565",claimed,Restaurants,Houston
Hugos,17135247744,jennifer@hugosrestaurant.net,outlook.com,http://www.hugosrestaurant.net/,Restaurant,1600 Westheimer Rd,Houston,TX,77006,US,,https://www.facebook.com/46301725266,https://www.instagram.com/hugos_houston,https://www.twitter.com/hugos_houston,,4.6,3969,,,4.2,1173,n,n,n,y,y,n,y,y,n,1970-01-01,1970-01-01,Register.com - Network Solutions,register.com,Hugo's restaurant,,1,1635,4,15851,583,,65,3,,,,,,https://g.page/HugosHouston,claimed,Restaurants,Houston
