Product Name,Price,Checkout URL,ID
Figma Design,39,https://aiopenclawskills.com/OU2T8tTbU2,figma-design
Firebase Backend,49,https://aiopenclawskills.com/5tdWjy5Klo,firebase-backend
Freshsales CRM,59,https://aiopenclawskills.com/yN3Kp4HrUa,freshsales-CRM
Gcloud Manager,69,https://aiopenclawskills.com/CXjfDq6d3S,gcloud-manager
Gemini Assistant,49,https://aiopenclawskills.com/VjXQp0tpWI,gemini-assistant
Github Repos,49,https://aiopenclawskills.com/wavqE8OPZX,github-repos
Gitlab Repos,49,https://aiopenclawskills.com/OkZ0eGVEk8,gitlab-repos
Gmail Inbox,39,https://aiopenclawskills.com/PW8OfYYsZz,gmail-inbox
Google Calendar,19,https://aiopenclawskills.com/gysMr07Asi,google-calendar
Google Drive,19,https://aiopenclawskills.com/C7Z7hLH0gT,google-drive
Google Forms,29,https://aiopenclawskills.com/6S90rqUOQV,google-forms
Gumroad Sales,49,https://aiopenclawskills.com/ocuj7eoTEi,gumroad-sales
Hubspot CRM,59,https://aiopenclawskills.com/KknTfOP5UC,hubspot-CRM
Imagekit Media,49,https://aiopenclawskills.com/uUCgj94bbI,imagekit-media
Intercom Support,29,https://aiopenclawskills.com/Hs3w3T1hGN,intercom-support
Jira Issues,49,https://aiopenclawskills.com/hv22DSPDAk,jira-issues
Jotform Forms,29,https://aiopenclawskills.com/lWJ4WN8ZCL,jotform-forms
Klaviyo Email,39,https://aiopenclawskills.com/feOnUTleQW,klaviyo-email
Linear Tracker,49,https://aiopenclawskills.com/RfMpN4B5k8,linear-tracker
Magento Store,49,https://aiopenclawskills.com/qrc2QH0LPG,magento-store
Mailchimp Email,39,https://aiopenclawskills.com/D3E9XGZPXs,mailchimp-email
Mailgun Email,39,https://aiopenclawskills.com/nEwJiFc6Yz,mailgun-email
Make Automation,49,https://aiopenclawskills.com/mJ6CMk3y93,make-automation
Miro Boards,49,https://aiopenclawskills.com/Caoc5b4x4P,miro-boards
Monday Productivity,49,https://aiopenclawskills.com/qA7BbbCb34,monday-productivity
Monday Workspace,49,https://aiopenclawskills.com/qNmCwaQfEb,monday-workspace
Netlify Deploy,49,https://aiopenclawskills.com/zWtua67l0y,netlify-deploy
Notion Ai Writer,29,https://aiopenclawskills.com/Gj09M5j8g0,notion-ai-writer
Notion Productivity,29,https://aiopenclawskills.com/lBmntf4k7y,notion-productivity
Notion Workspace,29,https://aiopenclawskills.com/BlDByfgrIH,notion-workspace
Openai Assistant,39,https://aiopenclawskills.com/KEF9JIaAB6,openai-assistant
Outlook Calendar,19,https://aiopenclawskills.com/eY3ycugrur,outlook-calendar
Outlook Inbox,49,https://aiopenclawskills.com/JaHQBYk6qT,outlook-inbox
Paypal Payments,59,https://aiopenclawskills.com/D1WBXl4dGR,paypal-payments
Pexels Media,49,https://aiopenclawskills.com/Zbjj2ZjCld,pexels-media
Pipedrive CRM,59,https://aiopenclawskills.com/2omvKqf2PW,pipedrive-CRM
Plaid Finance,39,https://aiopenclawskills.com/hgsd9yR6yi,plaid-finance
Postmark Email,39,https://aiopenclawskills.com/pm9rMKyJfe,postmark-email
Razorpay Payments,59,https://aiopenclawskills.com/7M55sFQR92,razorpay-payments
Recurly Billing,49,https://aiopenclawskills.com/ka88yzXNAi,recurly-billing
Salesforce CRM,59,https://aiopenclawskills.com/6ZTzfAUGwa,salesforce-CRM
Sanity CMS,49,https://aiopenclawskills.com/tjB4fIhD53,sanity-CMS
Sendgrid Email,39,https://aiopenclawskills.com/iGMqDWMlKj,sendgrid-email
Shopify Store,59,https://aiopenclawskills.com/0V5cXUdw85,shopify-store
Slack Manager,29,https://aiopenclawskills.com/ASNASs6vsv,slack-manager
Square Payments,59,https://aiopenclawskills.com/mng5FUBIgz,square-payments
Strapi CMS,49,https://aiopenclawskills.com/jSrLfyvUfM,strapi-CMS
Stripe Payments,59,https://aiopenclawskills.com/lUha5xn3qJ,stripe-payments
Supabase Db,49,https://aiopenclawskills.com/azG2LmeJh5,supabase-db
Surveysparrow Forms,29,https://aiopenclawskills.com/t2jxNoyetG,surveysparrow-forms
Telegram Bot,49,https://aiopenclawskills.com/pAZhKoDUcB,telegram-bot
Todoist Productivity,29,https://aiopenclawskills.com/YEV2ufE9Fw,todoist-productivity
Todoist Tasks,29,https://aiopenclawskills.com/0DRKQ6GOZS,todoist-tasks
Trello Boards,29,https://aiopenclawskills.com/HVombSIwb6,trello-boards
Trello Productivity,29,https://aiopenclawskills.com/k5EePZyWnS,trello-productivity
Twilio Comms,49,https://aiopenclawskills.com/P7jnkjnmvD,twilio-comms
Twitter Social,39,https://aiopenclawskills.com/ETj8S4F7qB,twitter-social
Typeform Forms,29,https://aiopenclawskills.com/Sd2uLrsLPe,typeform-forms
Unsplash Media,49,https://aiopenclawskills.com/371GFA5Oe6,unsplash-media
Vercel Deploy,49,https://aiopenclawskills.com/cLisssTW5Y,vercel-deploy
Whatsapp Business,49,https://aiopenclawskills.com/n0loAOJTxw,whatsapp-business
Wistia Video,49,https://aiopenclawskills.com/P5Zrp9n8wF,wistia-video
Woocommerce Store,59,https://aiopenclawskills.com/MSBxq5x1Gi,woocommerce-store
Wordpress CMS,49,https://aiopenclawskills.com/mqi0tuo0cz,wordpress-CMS
Xano Backend,49,https://aiopenclawskills.com/RKu84MwBwJ,xano-backend
Youtube Manager,49,https://aiopenclawskills.com/Bdt5WjxLGw,youtube-manager
Youtube Video,49,https://aiopenclawskills.com/ekGDuGeJbY,youtube-video
Zapier Automation,49,https://aiopenclawskills.com/SqNT7pvkCq,zapier-automation
Zendesk Support,29,https://aiopenclawskills.com/2UeWE2kh1S,zendesk-support
Zoho CRM,59,https://aiopenclawskills.com/nGtJLnd3L2,zoho-CRM
Zoom Meetings,19,https://aiopenclawskills.com/75csFintkT,zoom-meetings
Sales Page Skill,129,https://aiopenclawskills.com/xBRDvP6wnj,salespage-skill
Inbox Copywriter,129,https://aiopenclawskills.com/bpgIixsS3s,inbox-copywriter
Video Sales Letter,129,https://aiopenclawskills.com/T9lEALLEXN,vsl-skill
Hero Section Generator,129,https://aiopenclawskills.com/eUjz9c8kw9,herosection-skill
Master Copywriter,129,https://aiopenclawskills.com/3XSs8IC9yX,master-copywriter
ZipSkills,129,https://aiopenclawskills.com/YYEgrKaKDb,zipskills-skill
Skill Creator V2.0,129,https://aiopenclawskills.com/7PFjrTBBOG,skill-creator-skill
Course Sprout,149,https://aiopenclawskills.com/6jnyOVv8j5,coursesprout
Letterman Newsletter,149,https://aiopenclawskills.com/A1q3dDD5Dr,letterman-skill
Mintbird,149,https://aiopenclawskills.com/yX3f9OVVQD,mintbird-skill
Global Control V1,149,https://aiopenclawskills.com/TSKfiqsbBw,globalcontrol-skill
Page Sprout V1.0,149,https://aiopenclawskills.com/4maqCbZMsd,page-sprout-skill
QuizForma,149,https://aiopenclawskills.com/nwDVDy80VK,quizforma-skill
PostStream Social,149,https://aiopenclawskills.com/lrYnRYBdlA,poststream-skill
Web Scraper Extractor,79,https://aiopenclawskills.com/s4Ov8f1NCa,web-scraper-extractor
Lead Magnet Creator,97,https://aiopenclawskills.com/10pHBcaRMF,lead-magnet-creator
PDF Document Processor,49,https://aiopenclawskills.com/qjCuUsssOn,pdf-document-processor
Travel Planner,39,https://aiopenclawskills.com/9X6EFzxhGa,travel-planner
Data Analyst,89,https://aiopenclawskills.com/yAFPgolxxm,data-analyst
Competitive Analyzer,69,https://aiopenclawskills.com/p1wpKiHDzO,competitive-analyzer
Sales Funnel Copywriter,129,https://aiopenclawskills.com/20O4Al522r,sales-funnel-copywriter
AEO Optimizer,59,https://aiopenclawskills.com/RUQKfZhJps,aeo-optimizer
SEO Content Writer,79,https://aiopenclawskills.com/VOTUJTr8PH,seo-content-writer
Spreadsheet Automator,49,https://aiopenclawskills.com/RQ9eMtSvdf,spreadsheet-automator
